key,code,instantiation-moment,provider-name,customer-name,goals,budget,draft-mode,key:project,key:client
contract-21,CON-017,2022/07/03 12:30,Provider1Provider1Provider1Provider1Provider1Provider1Provider1Provider1Pr,Customer1,Project goals 1,"USD 1,000,000.00",false,project-12,client-01
#customer-name
contract-22,CON-018,2022/07/03 12:30,Provider1,C,Project goals 1,"USD 1,000,000.00",false,project-13,client-01
contract-23,CON-019,2022/07/03 12:30,Provider2,Cu,Project goals 2,"USD 1,000,000.00",false,project-14,client-02
contract-24,CON-020,2022/07/03 12:30,Provider1,C!#4STMer1,Project goals 1,"USD 1,000,000.00",false,project-15,client-01
contract-25,CON-021,2022/07/03 12:30,Provider2,Customer1Customer1Customer1Customer1Customer1Customer1Customer1Customer1325,Project goals 2,"USD 1,000,000.00",false,project-17,client-02
contract-26,CON-022,2022/07/03 12:30,Provider1,Λορεμ ιπσθμ δολορ σιτ αμετ,Project goals 1,"USD 1,000,000.00",false,project-17,client-01
contract-27,CON-023,2022/07/03 12:30,Provider2,Customer1Customer1Customer1Customer1Customer1Customer1Customer1Customer132,Project goals 2,"USD 1,000,000.00",false,project-18,client-02
contract-28,CON-024,2022/07/03 12:30,Provider1,'Or 'A' = 'A,Project goals 1,"USD 1,000,000.00",false,project-18,client-01
contract-29,CON-025,2022/07/03 12:30,Provider2,<h1>hola</h1>,Project goals 2,"USD 1,000,000.00",false,project-02,client-02
#goals
contract-30,CON-026,2022/07/03 12:30,Provider1,Customer1,P,"USD 1,000,000.00",false,project-01,client-01
contract-31,CON-027,2022/07/03 12:30,Provider2,Customer2,Pr 2,"USD 1,000,000.00",false,project-02,client-02
contract-32,CON-028,2022/07/03 12:30,Provider1,Customer1,Esto es un objetivoEsto es un objetivoEsto es un objetivoEsto es un objetivoEsto es un objetivo!!!!!,"USD 1,000,000.00",false,project-01,client-01
contract-33,CON-029,2022/07/03 12:30,Provider2,Customer2,Esto es un objetivoEsto es un objetivoEsto es un objetivoEsto es un objetivoEsto es un objetivo!!!!,"USD 1,000,000.00",false,project-02,client-02
contract-34,CON-030,2022/07/03 12:30,Provider1,Customer1,Este seria un objetivo medio que tiene casi la mitad de caracteres,"USD 1,000,000.00",false,project-01,client-01
contract-35,CON-031,2022/07/03 12:30,Provider2,Customer2,Կարո՞ղ եք ինձ օգնել,"USD 1,000,000.00",false,project-02,client-02
contract-36,CON-032,2022/07/03 12:30,Provider1,Customer1,'Or 'A' = 'A,"USD 1,000,000.00",false,project-01,client-01
contract-37,CON-033,2022/07/03 12:30,Provider2,Customer2,<h1>hola</h1>,"USD 1,000,000.00",false,project-02,client-02
#budget
contract-38,CON-034,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 00.01",false,project-01,client-01
contract-39,CON-035,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"USD 00.02",false,project-02,client-02
contract-40,CON-036,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",false,project-01,client-01
contract-41,CON-037,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"USD 999,999.99",false,project-02,client-02
contract-42,CON-038,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"EUR 00.01",true,project-01,client-01
contract-43,CON-039,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"EUR 00.02",true,project-02,client-02
contract-44,CON-040,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"EUR 1,000,000.00",true,project-01,client-01
contract-45,CON-041,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"EUR 999,999.99",true,project-02,client-02
contract-46,CON-042,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"GBP 00.01",true,project-01,client-01
contract-47,CON-043,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"GBP 00.02",true,project-02,client-02
contract-48,CON-044,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"GBP 1,000,000.00",true,project-01,client-01
contract-49,CON-045,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"GBP 999,999.99",true,project-02,client-02
